p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
5.11444910641967e-15,0.5903932286353,0.37,0.256,7.19347266817926e-11,9,SSBP1
5.57543309930894e-15,0.318601227017223,0.657,0.53,7.84184665417803e-11,9,NPM1
5.63677026693273e-15,0.550665218581302,0.324,0.204,7.92811738044089e-11,9,ILF2
7.81288947470095e-15,0.461858850349606,0.167,0.079,1.09888290461669e-10,9,SNRPF
1.05326580051945e-14,0.641002350010519,0.343,0.232,1.4814183484306e-10,9,NFE2L2
1.1479757374408e-14,0.510003911471413,0.169,0.081,1.61462787471049e-10,9,MAD2L1BP
1.28058694049193e-14,0.416299984626948,0.542,0.421,1.8011455318019e-10,9,RPS26
1.30680421963166e-14,0.554670501289588,0.21,0.112,1.83802013491194e-10,9,RAMMET
1.36832020878518e-14,0.644289267007361,0.245,0.143,1.92454237365635e-10,9,PNRC2
1.52502923057376e-14,0.510027005603526,0.121,0.05,2.144953612802e-10,9,NFKB2
2.17127387556768e-14,0.537345894646152,0.169,0.083,3.05389670598594e-10,9,ZNF24
2.45207744287205e-14,0.564026445315115,0.29,0.181,3.44884692339954e-10,9,BZW1
2.59608884129272e-14,0.511681257937162,0.162,0.077,3.65139895527821e-10,9,COQ10B
2.62607599353872e-14,0.516020197165491,0.132,0.057,3.69357588491221e-10,9,PPP4R3B
2.64153612043954e-14,0.56845462197296,0.268,0.161,3.71532055339822e-10,9,RNF7
2.95963982706644e-14,0.552766452142916,0.218,0.119,4.16273341676895e-10,9,DNTTIP2
3.64511455698499e-14,0.532735907166154,0.239,0.134,5.12685362439938e-10,9,PPP1CC
4.16085911030466e-14,0.454566310268433,0.151,0.07,5.8522483386435e-10,9,MARCH7
4.54570288554361e-14,0.577945207200835,0.391,0.285,6.39353110851709e-10,9,TNFAIP8
4.71032355019367e-14,0.468047917352232,0.16,0.076,6.6250700733474e-10,9,MRPL9
4.72033924984134e-14,0.394926516890753,0.104,0.04,6.63915715490185e-10,9,RABGGTB
5.35957080024659e-14,0.55926471217383,0.132,0.058,7.53823633054684e-10,9,IP6K2
6.08750622462624e-14,0.629294058367033,0.21,0.115,8.56207750493681e-10,9,LLPH
6.16854109840472e-14,0.435505430097962,0.113,0.045,8.67605305490624e-10,9,MRPL46
7.45438956862642e-14,0.513023704105133,0.345,0.227,1.04845989282731e-09,9,PPP2R5C
